place,filename,image title,author,license,source URL
India,india.jpg,"Taj Mahal, Agra, India edit3","Yann, King of Hearts, Jbarta",CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Taj_Mahal,_Agra,_India_edit3.jpg
Costa Rica,costa-rica.jpg,"Mirador Valle de Orosi, Cartago, Costa Rica - panoramio",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mirador_Valle_de_Orosi,_Cartago,_Costa_Rica_-_panoramio.jpg
Slovenia,slovenia.jpg,"Church of the Assumption, Slovenia",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Church_of_the_Assumption,_Slovenia.jpg
Ghana,remote,"Nzulezu front",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Nzulezu_front.jpg
Guatemala,guatemala.jpg,"Lago de Atitlan en Guatemala",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Lago_de_Atitl%C3%A1n_en_Guatemala.jpg
Taiwan,taiwan.jpg,"Taipei skyline",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Taipei_skyline.jpg
Tanzania,remote,"Masai giraffe in the Serengeti National Park",Giles Laurent,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:042_Masai_giraffe_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg
United States,remote,"Golden Gate Bridge Yang Ming Line",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Golden_Gate_Bridge_Yang_Ming_Line.jpg
Canada,remote,"Lake Louise Canada",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Lake_Louise_Canada.JPG
Peru,remote,"Machu Picchu, Peru",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Machu_Picchu,_Peru.jpg
Chile,remote,"Torres del Paine National Park",Wikimedia Commons contributor,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Torres_del_Paine_National_Park.jpg
